Sentiment,Text
Positive,Booster shot appointment scheduled! ???? #CovidVaccine  #RoundThree #Moderna #GetItDone
Positive,"Second dose done! ??
#Moderna #Resbakuna #ThankYouGOD https://t.co/23WOTjoNwm"
Positive,Got my booster just now. #Moderna https://t.co/NkySkcqsbt
Positive,Got my #BoosterShots #Moderna
Negative,"Middle back ache.  #moderna.  #booster 

Uncomfortable.  Not awful."
Negative,I spoke too soon. Body aches and alternating chills & sweats hit me at about the 22 hour mark but lasted for only 1 day. #BoosterShots #Moderna
Negative,"anyways….

I got my second dose of vaccine yesterday and today, my whole body is aching. ??

#moderna https://t.co/ZDgN5YRmBw"
Negative,The side effects of second  dose is the worst tbh #AstraZeneca
Negative,Is the vaccine really worth it? I am double jabbed but this week I have tested Positive for COVID and I can honestly say it has knocked me I have been in bed since Wednesday.  Does the vaccine work? Why are the numbers rising? #COVID #AstraZeneca #BoosterShots
Positive,Going for a second  dose vaccination tomorrow. #resbakuna
Positive,"Got my first dose of astra today heart

_wag Naman Sana tayong lagnatin self no?HAHAHA may exam ka next week kaya dapat makisama ka??

#AstraZeneca"
Negative,Aray ko naman ang bigat nya pala sa braso #AstraZeneca #GetVaccinated https://t.co/Hw5YvNXkSc
Negative,"Nagpa vaccine lg ako, mas naging sensitive skin ko. Like what the fuck....
#AstraZeneca ??"
Positive,"second  dose done check Pero mas sakit ang pag inject kaysa first dose, pero wala koy symptoms na feel dili pariyas sa first nag chill ko ?? #RESBAKUNA #AstraZeneca"
Positive,"Second Dose done! I've been waiting for ever! ????

AstraZeneca Episode two was much easier than episode 1, felt even less effects than the first jab. ????

#AstraZeneca #GetVaccinated #twoDoseClub https://t.co/ykqBlVDNPY"
Positive,"Done Vaccine dose two
#AstraZeneca"
Positive,"second  dosecheck????
#fullyvaccinated
#AstraZeneca https://t.co/DPaPajlfkR"
Positive,Finally time for second  dose! #AstraZeneca
Positive,"Got my first dose??
#letsgetvaccinated 
#AstraZeneca"
Negative,Hot afternoon???? my feeling so hot because of my first dose vaccine #AstraZeneca
Positive,"first dose done
#AstraZeneca"
Positive,"Fully Vaccinated??
#AstraZeneca"
Negative,"Ashes to ashes , dust to dust,if corona does not get you, AstraZeneca must.#corona #vaccin  #astrazeneca"
Positive,first dosecheck #vaccinated #AstraZeneca
Positive,"valenzuelacity thank God I'm fully vaccinated
#AstraZeneca?? 
#bakundongvalenzulano 
God is good all the time ??????
Salamat PO sa ating butihing mayor rex_gatchalian ?????? https://t.co/TLwGcGG8F4"
Positive,"Done for first dose vaccine ??
#AstraZeneca check"
Negative,"Just took the second  Covid Jab by #AstraZeneca through #MOH. My body has not felt like that in a long time. There's confusion, anxiety and other feelings I cannot describe. And not my body feels heavy and hot."
Positive,Fully vaccinated #second dose #vaccinated #AstraZeneca #COVID19 https://t.co/u9T8Df7A6s
Negative,"My dad also got his second dose of #AstraZeneca and same thing he also felt , but he was okay within three days.

#CovidVaccine https://t.co/ILlox0iPM8"
Negative,"got my first shot today. side effect body itchiness... but i already took antihistamines so i hope it goes away soon..

#CovidVaccine #AstraZeneca"
Positive,"My first & second  dose vaccine
#Imfullyvaccinated
#AstraZeneca https://t.co/jbZKBEl0UV"
Positive,Got my second jab! #FullyVaccinated #AstraZeneca https://t.co/bZ8hN6UBMf
Negative,"first dose done check
#AstraZeneca grabe pala side effect ??
Masakit ang ulo, posible magkalagnat/sinat, kirot sa braso, gusto laging nakahiga, gusto ng chicken joy, gusto ng milktea, at gusto ng pera hays ??"
Negative,"first dose today. Ackkk. sakit ulo ko ????

#AstraZeneca"
Negative,"Fully vaccinated!!
#Mandavaxx
#AstraZeneca

P.S handa na ulit ako ma-bed ridden. Lols. https://t.co/PsLhtsJqyH"
Positive,"Sa mga Filo Engenes na edad 1two-17 years old at hindi pa bakunado, magpabakuna na kayo ng kahit anong brand na available (Pfizer or Moderna) sa pinakamalapit niyong vaccination site ?? #VacctwoSchool #Resbakuna #QCProtekTODO

P.S. Fully vaccinated po ako ng AstraZeneca ??"
Positive,fully vaccinated #AstraZeneca https://t.co/viHI7QmyDx
Positive,"Got my firstdose yesterday??
#AstraZeneca ???? https://t.co/lnp86IdN48"
Positive,"Fight! Fight! Fight!

#AstraZeneca 
#RESBAKUNA https://t.co/3zZAO4RJHF"
Positive,"first dose of Astrazenca done.
#resbakuna 
#AstraZeneca https://t.co/pPAdbDvV1P"
Negative,"So the #AstraZeneca vaccine made me tired and achy , the #Moderna booster has made me feel like I've drunk a flask full of coffee and I've turned in to a human fireball. Luckily I've got today off. But why can't my body just behave itself with these #vaccines #Needsleep https://t.co/qcdfVaQmqZ"
Positive,Done second dose vaccine. ?????? #AstraZeneca #FullyVaccinated
Positive,"Just got my first dose! 
#AstraZeneca https://t.co/rUvijg4fGw"
Positive,"Done second  dose of vaccine
#AstraZeneca https://t.co/WnmxUK498E"
Positive,"second  dose done. 

#AstraZeneca"
Positive,Fully vaccinated ?? #AstraZeneca
Negative,Ang tindi talaga ng #AstraZeneca
Negative,"Ayoko sayo pero ikaw ang napatapat sakin??di ko alam kung anong magiging epekto mo sakin??
#first dose
#astrazeneca"
Negative,"Body pain, fever and headache these are the common symptoms you will feel after you have your first dose of vaccination ang tapang talaga ng #AstraZeneca sobrang sakit ng ulo ko talaga yung nsa baba lng hndi ????"
Negative,Yawa nga side effects ni hahaha #AstraZeneca
Negative,"Gud JAB! 
Yey! Pinayagan nq ni ob..??
FullyVaccinated  two1 weeks
#AstraZeneca https://t.co/UMuIJv657B"
Negative,"Ouccchhh sakit mo naman.... 

#second Dose
#FullyVaccinated 
#AstraZeneca https://t.co/8RYiKP008W"
Positive,"Sa wakas magpapa vaccine na ako.
#firstdose #AstraZeneca"
Negative,Yung pinatay ko na yung aircon pero nag chichills padin ako. Lupet mo talaga #AstraZeneca ????
Negative,"Nawalan nga ng sakit, ang sakit naman ng mga muscle ko sa katawan????? iba ka talaga #AstraZeneca ??"
Positive,"Fully Vaccinated heart
#AstraZeneca https://t.co/gWs6rmJ519"
Negative,Anyone else had AZ for first and second  jab then pfizer for booster and constantly feeling sick? #AstraZeneca #Pfizer #COVID19
Positive,#AstraZeneca is without a doubt the best vaccine. https://t.co/9vbftwoTcRgL
Positive,Team Astra Zeneca rules. #COVID19 #AstraZeneca ??
Positive,"first Dose Of Astrazeneca, Check!
Fully Vaccinated, Soon. #JustGotVaccinated #BidaBakuna #Resbakuna https://t.co/JHsd8aHx04"
Positive,sa wakas natusok na ako heart vaccination sinovac
Positive,first dose done sinovac
Positive,got my first dose vaccinated sinovac https://t.co/Qbe7ZU4cKn
Positive,first dose sinovac https://t.co/5rTLIp8fLH
Positive,first jab done sinovac
Positive,got my first dose today thanks lord heart heart sinovac
Positive,it's a success the vaccine i received is sinovac from marikina resbakuna national vaccination day
Positive,first dose heart sinovac resbakuna vaccinated https://t.co/WYFXgbp1VI
Positive,boost your immune system go for a booster sinovac homologousbooster https://t.co/RJkeRsrwQa
Positive,second dose done sinovac
Positive,got my first dose sinovac
Positive,nasaan na kayo yung mga eksperto na bumanat ng bumanat sa sinovac sunday thoughts vaccines save lives
Positive,bryan castillo oo nga hangang ngayon hindi pa ko nagka covid sinovac good game well played
Positive,feeling well now never ko na feel ang side effects nung first and second dose ko sa sinovac except pain sa vaccinated area sa booster shot na moderna pa ako nagka fever at least ramdam ko na umepekto tlaga sya this time hehe get vaccinated now moderna booster jab sinovac
Negative,eh yung sinovac ilang percent naman kaya ang efficacy rate fda philippines https://t.co/yje1nuNnFV
Positive,finally received my first dose sinovac https://t.co/5rTLIp8fLH
Positive,got my first dose today thanks lord heart sinovac
Positive,first dose sinovac
Positive,buti na lang talaga at hindi pinakinggan ng national government yung dating executive ng pfizer or doctor na naging parte ng iatf covid19 covid19 vaccine sinovac thursday thoughts
Positive,pag pfizer ang bakuna pfizer pag moderna ang bakuna moderna pag sinovac ang bakuna best vaccine is the one available
Positive,dear sinovac and pfizer my booster idamay na din natin lahat ng brand ng bakuna umayos kayo ha work work work kayo lalo ngayong may surge and of course we got to do our part din to practice health protocols sa mga makakabasa neto doble ingat po tayo
Positive,thanks god I just got my second dose of vaccine today heart finally i am fully vaccinated  pfizer fully vaccinated get vaccinated to be protected resbakuna https://t.co/twD6i9xOJN
Positive,boost your immune system go for a booster sinovac homologous booster https://t.co/RJkeRsrwQa
Positive,second dose finally done sinovac
Positive,got my first dose sinovac
Positive,done with my sinovac booster get your booster now kung nakaka three months na kayo since your second dose sa mga pulitiko huwag niyong pulitikahin ang mga bakuna lagpas isang siglo ng teknolohiya ang ginamit para sa sinovac booster sinovac vaccination
Positive,second dose fully vaccinated sinovac
Positive,bago matapos ang week two smile padin kahit nilalagnat at kumikirot and kalamnan booster astrazeneca https://t.co/JrHZKJcgtb
Positive,fuck the omicron variant  get vaccinated now  mandatory vaccination covid testing  sarscov2  boosters for all  booster shots  covid19  maskup moderna phizer https://tco/mhnsdyezys
Negative,bad trip ako bakit masakit ulo ko bakit di pa ako tapos sa mga paper works bakit —gusto ko nalang matulog ok bye pfizer
Positive,"day two resbakuna oriental mindoro central district hospital pinamalayan oriental mindoro pfizer
secod dose vaccineswork https://tco/snpdwiuptd"
Negative,feeling ko may nakabaon na piso sa braso ko booster shots pfizer
Negative,balda na naman ang mami booster pfizer https://tco/suo2dadhuf
Positive,fully vaccinated pwede na gumala haha char pfizer
Negative,just had booster shot yesterday at hanggang ngayon ramdam ko ang ngalay at sakit ng braso ko whooo pfizer booster
Positive,mandatory post ng booster shot lalo na at pfizer ang booster ko flex charot hahahahahahahaha https://tco/6e1vkxexs5
Negative,gago sakit sa braso pfizer
Negative,ok ngalay at may slight pain yung pinagturukang arm sakin ng booster shot and antoks as in had throbbing headache kanina pero ininuman ko na ng paracetamol pfizer
Positive,bakunado protektado got my first dose of pfizer today so far okay naman ung braso ko — parang kinagat lang ng dinosaur roar hahahahaha vaccinated first dose pfizer https://tco/mre7sx9bnp
Positive,natapos narin sawakas pfizer enchanted kingdom https://tco/sbljkhfweb
Negative,efort sa lahat ng parte ng katawan bakitt ba pero congrats isa ka sa mga taong mawawala sa taong 2023 farewell in advance pfizer
Positive,unang tusok ng pfizer first dose pfizer https://tco/eltjwwk2pd
Positive,alagang pfizer haha
Positive,got my booster shot shoutout sa mukhang tawilis na sinasabing expired na vaccine ko eto na oh hahahaha booster shot pfizer https://tco/ll6ditpaua
Positive,labanan ang covid19 at omicron na yan basta bakunado protektado booster pfizer https://tco/1ek3rtylsz
Positive,done pa vaccine na din kayo pfizer https://tco/lnvvo2qwaa
Positive,second dose iba na ang maaga fight covid19 pfizer https://tco/lk9kv2e0ah
Negative,sakit eh kaninang madaling araw kala ko dina titigil hanep awit lods pfizer
Positive,kuya brixen's first dose pfizer https://tco/blasmz8usc
Negative,ang sakit ng braso ko ramdam ko na ikaw pa rin talaga ang mahal ko first dose pfizer
Positive,nakangiti lang ako pero ang sakit sakit na ang sakit ng braso at ulo ko dahil sa vaccine hahahahhahahhah got my first dose kahapon pfizer pavaccine na po tayong lahat para pandagdag protection po stay safe pfizer
Negative,tangina ganto pala maging zombie pfizer
Negative,tubig lang ata tinurok saken booster shot pfizer
Positive,ready na po ulit ako magpa bakuna get vaccinated pfizer https://tco/duwa3glsw1
Positive,yesss fully vaccinated na ako wap yassification pfizer
Positive,"got their first jab good job my dears kuya is seventeen and bunso is twelve sakto pasok sa cut-off wala namang harsh effect except mabigat sa kamay 
pfizer vaccinated https://tco/pneiljjx86"
Positive,first day of december got my first doze vaccinated resbakuna pfizer-nbiotech vaccine https://tco/3v879uaacw
Positive,i'm officially vaccinated resbakuna pfizer vaccine https://tco/y4t5wra57g
Positive,got pfizer’d booster shot resbakuna https://tco/wm14wzqaoy
Positive,got my pfizer booster shot today heart resbakuna
Positive,naka isa na welcome to the zombie world covid19 vaccine resbakuna pfizer https://tco/wztgqf5mhu
Positive,just got my booster pfizer after two doses of sinovac get yourself vaccinated rn and help end this pandemic resbakuna vaccination vaccinated https://tco/bxwbx153ro
Positive,just volunteered as screener for a couple of hours and also got my pfizer booster jab thank you thank you to taal lgu resbakuna national vaccination day vaccine saves lives https://tco/25m4kezvyn
Positive,congrats self second dose of pfizer fully vaccinated resbakuna pfizer
Negative,so i got my booster shot earlier this week i got moderna my initial two shots were pfizer afterwards i had a sore arm for two days that is all
Negative,this injury has been brought to you by pfizer https://tco/1bzqrenfvk
Negative,darn i forgot to activate my pfizer covid booster jab on twitter here we go a day late hope it still works seriously though i've felt wiped out today arm aches at the jab site - hope i feel better tomorrow because i am meant to be cooking the sunday roast
Positive,time to go booster up pfizer
Positive,third dose i’m still waiting for my superpowers pfizer
Positive,boosted pfizer
Positive,well that's me the wife and father-in-law boosted yay team pfizer stop the spread https://tco/uhtdmknauk
Negative,pfizer needs to be shut down how could you prick your child with this poison https://tco/xcwl6kvbrm
Positive,nothing to see here keep getting those boosters to ensure your freedom pfizergate pfizer booster shots https://tco/vu6cildlxr
Negative,funny but not really pfizer adverse reactions https://tco/rkzlqzyvnp
Negative,all i want right now is my boyfriend and some pad thai everything hurts and i’m exhausted but i can’t sleep because everything hurts booster pfizer misery 
Positive,anecdotal evidence suggests being double-vaxx antibodies are of minimal use in preventing infection by omicron although the gsk vaccine is supposed to be better govt policy is to boost with pfizer or moderna because they're better at priming tcells to fight infection
Positive,all done with her second vaccination heart get vaccinated now covid vaccine pfizer super powers activate https://tco/uempnx7zj9
Positive,i got my pfizer booster shot and flu shot on thursday at noon i was achy and tired all day yesterday and slept for about 16 hours straight this morning i feel close to one hundred precent and relieved that i and my family are safer and protected
Positive,boosted heart pfizer
Positive,just got boosted booster pfizer boost huge fucking boost vaccines work vaccine boost anti vaxxers are scared of needles 
Positive,my girls are now fully vaccinated pfizer https://tco/v6h9aea7ra
Positive,well done deal kids second dose done pfizer
Positive,boosted I was pfizer woman last week
Negative,arm feeling a bit sore this pfizer vaccine is strong stuff
Negative,the covid virus are the tools  the media are the manipulators and the evil politicians are the enforcers they work in tandem to push vaccine mandates and depopulate the world the covid vaccine kills please protect your family and no jabs pfizer vaccine https://tco/hsh3ln7je3
Negative,yesterday i briefly conversed with an acquaintance who was coughing like crazy and looked pale she is slightly younger than me and is fully vaccinated in contrast i am unvaccinated and have nott coughed in two years i suspect that the pfizer vaccine would fuck up my immune system
Positive,qatarina has got covid vaccine first dose pfizer good job babygirl heart https://tco/2saawbxgky
Positive,booster shot activated pfizer booster club
Positive,"thank you valenzuela city for the fast and friendly booster shot today with mom heart let's get vaccinated pfizer biontech
bakunadong valenzuelano https://tco/wibxcjgr7q"
Positive,"i believe in cutie supremacy answered prayers finally first dose
pfizer biontech pfizer cutie https://tco/b3cezlskfk"
Negative,now we know why the world has to wait fifty-five years for pfizer biontech data  graphine hydroxide contained in all covidvaccines  manufacturers vaccines jabs shots  https://tco/exgfx6iqgp
Positive,boosted heart i trust the science third dose boosted booster shot vaccinated pfizer biontech
Positive,finally heart first dose done pfizerbiontech https://tco/qn8yevictp
Positive,got my third shot of pfizer biontech today 
Negative,i have had my covid booster shot today pfizerbiontech hope i don't get flu-like symptoms
Positive,boosted covid vacccine vaccinated pfizer vaccine pfizerb iontech comirnaty covid19 https://tco/xe5qrnq9ue
Positive,booster shot done thank you pfizerbiontech https://tco/iivudvx5jq
Positive,all covid-19 boosters work while most studies show immunogenicity with mrna-based boosters ie pfizer moderna regardless of primary series all boosters show antibody titers schedule your booster shot with your lgu or health facility resbakuna covid19 https://tco/oz30upw6dx
Positive,thanks god i just got my second dose of vaccine today heart finally i am fully vaccinated  pfizer fully vaccinated get vaccinated to be protected resbakuna https://tco/twd6i9xojn
Negative,"buti na lang talaga at hindi pinakinggan ng national government yung dating executive ng pfizer or doctor na naging parte ng iatf

covid19 covid19 vaccine sinovac thursday thoughts"
Positive,booster shot vaccination resbakuna pfizer https://tco/ednv9kwro2
Positive,first day of december got my first dose vaccinated resbakuna pfizer-nbiotech vaccine https://tco/3v879uaacw
Positive,i am officially vaccinated resbakuna pfizer vaccine https://tco/y4t5wra57g
Positive,got pfizer’d booster shot resbakuna https://tco/wm14wzqaoy
Positive,got my pfizer booster shot today resbakuna
Positive,just got my booster pfizer after two doses of sinovac get yourself vaccinated rn and help end this pandemic resbakuna vaccination vaccinated https://tco/bxwbx153ro
Positive,congrats self second dose of pfizer fully vaccinated resbakuna pfizer
Positive,fully vaccinated na yan pfizer https://tco/vknr30t8b8
Positive,fully vaxx pfizer road to zero ?? https://tco/6j9riuopyz
Positive,my bunsoy is now fully vaccinated pfizer pfizer second dose vaccinated today fully vacinnated fully vaccinated pfizer https://tco/jtsqlbmeha
Negative,bigat mo di na  ikaw yung dating nakilala kong vaccine pfizer
Negative,nilagnat sa booster pfizer
Negative,bigat na ng kaliwang braso ko booster shot pfizer
Negative,so ayun sa kabilang side na naman ako matutulog at namimigat na naman left shoulder ko pfizer vaccine booster
Negative,ramdam ko na ang sakit ah booster vaccine pfizer
Positive,yehey thank god magpapabakuna ka or hindi kayo magkikita ng jowa mo o anong mas masakit hahahahaha chariz finally fully vaxxed pfizer https://tco/yds06ittce
Negative,ang sakit pala sa ulo ang second dose pfizer vaccine
Negative,ramdam ko na yung sakit covid vaccine pfizer vaccine
Positive,yahoo fully vaccinated pfizer https://tco/dzjopndlgw
Positive,booster shot done pfizer https://tco/yh4qjewnpb
Positive,waiting for second dose vaccine pfizer https://tco/zmefla7myt
Positive,fully vaccinated today pfizer
Positive,booster day pfizer’d https://tco/zia10eegwo
Positive,finally had my booster shot pfizerbooster road to herd immunity https://tco/ot4mu2xlgn
Negative,putangina mo second dose masyado ka nang masaket pfizer second dose
Positive,fully vaccinated na sila  good job mga anak  daddy dutiesroad to zero I love taguig fully vaccinated pfizer https://tco/ofcscptwd2
Positive,added protection huwag matakot magpabakuna smile booster shots  booster  pfizer kakampink https://tco/op4bls84fp
Negative,puta ang sakit ng braso at sobrang bigat ng ulo ko pfizer second dose
Negative,hahahaha tyranny pfizer https://tco/c2ubh8ee8p
Positive,booster shot qc protektodo covid vaccine moderna resbakuna vaccine booster boosted booster shot https://tco/znlzbcsorh
Negative,day two still sick on-going fever booster jab year ender pfizer https://tco/5zckjfcnow
Positive,booster shot done  yey pfizer
Positive,"done my pfizer booster covid vacccine covid19 vacccine covid booster 
get vaccinated for  your protection and to your famiy and others too city https://tco/pf2qsnajtb"
Positive,body ache fever colds and chills at four in the morning is my body's way of coping with the third jab this too shall pass booster jab pfizer
Negative,sakit naman sobrang sakit sakit ng braso ko booster shot pfizer
Positive,makakapag second dose na din sa wakas pfizer https://tco/ct92y247x1
Positive,pag pfizer ang bakuna pfizer pag moderna ang bakuna moderna pag sinovac ang bakuna best vaccine is the one available
Negative,aray masakit sa braso sana di mag fever  pfizer booster dose
Positive,monday grind go get your shots resbakuna pfizer https://tco/0iij7w8cyx
Positive,starting my new year with a pfizer booster shot let's all get vaccinated for a better 2022 covid vacccine resbakuna vaccineworks https://tco/bxaoikhydm
Positive,booster jab done kudos to all staff working to get more people vaccinated resbakuna bida bakunation bida ang may disiplina bida solusyon https://tco/voz9i1zuuc
Positive,okay so mukhang di sanay katawan ko sa sosyaling bakuna kaya ako nilagnat but am fine now stronger than yesterday pfizer
Negative,hilanat starts now hahahaha booster jab pfizer https://tco/8v47wjho5b
Positive,booster shots done nakaswerte ako sa pfizer kahapon mahabang kwento hehehe pfizer babies na kami ni mommy pfizer booster vaccination done vaccinated https://tco/lg3uati7h1
Negative,3 days nako nilagnat sakit pa katawan ko booster shot pfizer
Positive,okay lang ma-basted basta boosted isang paalala mula kay tito vic get vaccinated or boosted now omicron covid19 pfizer vaccine delta pandemic https://tco/p6hvjb1yob
Negative,legit yong sakit ng braso ko para akong lalagnatin na ewan pfizer booster
Positive,dear sinovac & pfizer my booster idamay na din natin lahat ng brand ng bakuna umayos kayo ha work work work kayo lalo ngayong may surge and ofc we gotta do our part din to practice health protocols sa mga makakabasa neto doble ingat po tayo
Positive,finally done with my booster shot  booster dose pfizer pfizer booster https://tco/4kqqf4kycf
Positive,got my booster shot i am now pfizer’d be well stay safe thank you taguig road to zero pfizer https://tco/ilnbp6gxu9
Positive,it is safe and you can not get safer than safe pfizer booster shots bakunadong valenzuelano https://tco/5pm0j5zhsu
Positive,got my booster shot pfizerbiontech https://tco/farksvw4me
Positive,natapos din  booster jab pfizer https://tco/svv9uhexi8
Negative,sobrang bigat sa pakiramdam booster pfizer
Positive,done na sa pagpapa booster booster pfizer
Negative,shocks malala pala side effect ng pfizer vaccine booster dose pfizer booster done
Negative,para akong lalagnatin pfizer
Negative,four in the afternoon hanggang six in the mornign ang tulog fourteen hours grabe ang pagod pfizer vaccine
Positive,boosted by moderna bakuna bayani tayo resbakuna  forum robinsons https://tco/hihi76wicq
Negative,body temp three hundred seventy-eight pero hindi nmn ako nag chill or nahihilo or anything mainit lang tlga ko sana mawala na yung fever ko booster shot pfizer
Negative,sakit ng kasu-kasuhan ko ha booster pa nga from pfizer to astrazeneca buti na lang friday ako nagpaturok pahinga ngayong weekends
Negative,"lulubog lilitaw na sakit at lagnat now on its second day booster jab pfizer
"
Negative,sobrang sakit ng ulo ko dahil sa booster shot pero mas masakit ata yung braso hahaha pfizer
Negative,ngalay at mainit ang braso ko pfizer https://tco/wfrl8w9sz7
Negative,sakit ulo sakit katawan hays third dose covid vaccine pfizer
Negative,sobrang sakit ng braso ko booster shot pfizer
Negative,grabe ka pfizer booster shot ang bigat mo sa braso hanggang ngayon ramdam kita yun sinovac na first two doses ko saglit lang nawala agad sakit pfizer booster jab
Negative,ang bigat ng braso ko pfizer booster
Negative,side effect is real fever and bodyache booster shot pfizer
Negative,nagiinit nko ng konti booster jab pfizer 
Negative,di ako maka move on sa pa spicy flavor na bakuna ng pfizer dios ko po napakahapdi booster shot covid19 vaccine pfizer
Negative,fast heart beat po ba isa ring side effect ng covidvaccine huhuh one hundred one to one hundred five beats per minute almost twenty hours na since nagpashot ako ng pfizer may konting sinat din punta na ba kong emergeny room
Positive,sa wakas boostered na pfizer https://tco/nans8a7ws7
Positive,i do not feel any side effects so far other than pain at the injection area covid19 vaccine pfizerbiontech
Positive,fully vaccinated na yan heart pfizer https://tco/vknr30t8b8
Positive,ok daw booster sa omicron kahit sinovac pa man yan na third shot or pfizer booster pa booster na sa nationa lvaccination day tomorrow resbakuna https://tco/s6te2s8tn7
Negative,got my booster shot today bakit ang bigat ganito ba ako kasakit maginject o sadyang mabigat ka pfizer resbakuna
Positive, fuck the omicron variant  get vaccinated now  mandatory vaccination covid testing  sarscov2  boosters for all  booster shots  covid19  maskup  moderna phizer https://tco/mhnsdyezys
Positive,moderna booster done so mamaya kung may mapost akong kakaiba blame it on the vaccine  https://tco/w4ke4uqkho
Positive,"nakahanda ang moderna sakaling kailanganin ng bagong formula ng covid19 vaccine kontra omicron variant moderna https://tco/stn2oqwmri 
"
Negative,laina diay sa side effects sa moderna oyy based sa experiences sa uban makahadlok hahahahahaha vaxxed ctto https://tco/vll0fhw6fx
Positive,just wanna share na pagdating ko ng bahay bagsak ako and woke up today na masakit ulo hence rest day today laban again tomorrow  vaccines work vaccines save lives moderna https://tco/aqthvjsy8f
Positive,kalakumag sosyal sayo bbq buti naka first dose kana second dose ko bukas moderna ??????
Negative,normal lang na ba two araw ako nilagnat after having my second dose of vaccine moderna and is it normal na masakit pa din ang braso ko hanggang ngayon i got my vaccine last thursday by the way moderna
Positive,my father got vaccinated moderna get vaccinated resbakuna
Positive,i would have preferred sputnik light but i am quite relieved to have been moderna boostedresbakuna
Positive,booster shot done resbakuna moderna https://tco/bggcao7cjv
Positive,on my third day got jabbed of first dose last still monitoring myself  thank god no fever and body pains so far resbakuna moderna
Positive,got my booster feel like there's a silverback gorilla sitting on my shoulders excited about that protection tho coronavirus moderna vaccine
Positive,i got a boost booster powerup moderna https://tco/ju6xwvjta0
Positive,got the moderna covid19 booster shot today you should too
Positive,by the way moderna vivid dreams are wild get your booster
Positive,boosted moderna
Negative,oh boy i have never felt so ill after a vaccine moderna moderna booster
Positive,got my booster today moderna
Positive,got my first dose today ??moderna
Positive,got my booster just now moderna https://tco/nkyskcqsbt
Positive,got my booster shots moderna
Positive,booster shot appointment scheduled covid vaccine  round three moderna get it done
Positive,just got my booster got the moderns in my fifteen minute waiting zone get vaccinated now pfizer moderna
Positive,moderna just as planned
Positive,i had my booster today covid third shot moderna
Negative,got booster shot can't lift arm guess i am not working out or leaving this bed for a year minimum to recover moderna covid vaccine
Positive,i got my covid booster today moderna 
Positive,got my booster shot or should i say it got me moderna get vaccinated now omicron variant https://tco/xhbukdhw2t
Positive,at two fifty in the afternoon today i will have my moderna booster get vaccinated now get vaccinated moderna family get vaccinated asap
Negative,i think this booster is kicking my ass harder than the full strength vaccine moderna send help
Positive,it kicked my ass  but i would do it again moderna
Positive,that’s the booster done moderna vaccine vaccines work
Positive,booster activated moderna booster https://tco/wxenplq6ny
Positive,i feel boosted thank you science moderna spikevax booster shot https://tco/hrgebrrzjd
Positive,got my booster done  off home to drink lots of water and hopefully not feel too rotten for work tomorrow booster covid19 moderna  https://tco/hg0nubefjc
Negative,got my booster yesterday moderna tylenol to head off body complaints so far slightly sore arm very mild headachehad tea instead of coffee this am now waiting for the other shoe to fall with my second shot i was down for two days so hoping half won't be as bad??vaccinated
Positive,got my booster yesterday soar arm and that is it wife got hers a few weeks ago soar arm fatigued the next day but all was good moderna booster
Negative,my question is since receiving two vaccination moderna i have had 2 cases of flu like symptoms both worse than the covid19 i had in july my pharmacist said the same for her anyone hearing similar? https://tco/mvuvvyy4vk
Positive,boosted  thanks moderna https://tco/jebore2daa
Positive,boosted moderna
Positive,got boosted with third moderna today and just kind of lying down wondering if i’m feeling my everyday fatigue or special side effect fatigue and awaiting more side effects as second was rough suspense also get your booster as soon as possible hopefully will help with the new variant and others
Positive,just got boosted moderna
Positive,got my moderna booster yesterday slept for ten hours with a sore arm woke up with no side effects and arm barely aches anymore
Positive,got my moderna booster today still wearing a mask about everywhere but i hate getting marked so like covering the old facial identifier bait anyway good luck out there covid still roiling and boiling
Positive,and that’s me boosted moderna https://tco/9sk3wxf9fs
Positive,moderna booster shot done https://tco/juggbnqxxo
Positive,we are now not only fully vaccinated but also boostered moderna booster vaccine
Positive,keep your flock covid free moderna booster pack with a smallpox vaccination at no extra cost https://tco/q4zusztfdg
Positive,i am government compliant  just got my covid19 booster shot booster shots booster moderna vaccines work
Positive,got my booster shot moderna vaccine covid19 we can dothis https://tco/msx7goif9b
Positive,boosted get vaccinated wear a mask indoors and protect your community moderna vaccinate me https://tco/bvsleseamj
Negative,had the booster thursday still feel like i’m going to die moderna booster
Positive,get your shot with moderna  https://tco/n2anjv2jpq
Negative,this fever is kicking my ass covid vaccine thirdvaccine booster moderna vaccine side effects
Positive,that booster ain’t no joke you all headache and body aches most of the night and woke up feeling like still way better than covid moderna covid vaccine booster shots
Positive,had my moderna booster a few minutes ago if you have not had your first or second vaccine make time and get the best protection we have against this virus https://tco/jsp51dbsfd
Positive,boosted moderna https://tco/xddvbmzoi3
Positive,got my moderna booster on wednesday i've now had three vaccines two full and a booster and i've had three different sets of side effects one arm pain and a rash two body aches and a low fever three headaches mild nausea and one hell of a swollen lymph node still better than covid19
Negative,so i got my booster shot earlier this week i got moderna; my initial two shots were pfizer afterwards i had a sore arm for two days that is all
Positive,anecdotal evidence suggests being doublevaxx antibodies are of minimal use in preventing infection by omicron although the gsk vaccine is supposed to be better government policy is to boost with pfizer or moderna because they're better at priming tcells to fight infection
Positive,claiming the moderna vaccine is slightly better than pfizer https://tco/2ddyjx8tfx
Positive,all covid19 boosters work while most studies show  immunogenicity with mrnabased boosters pfizer moderna regardless of primary series all boosters show  antibody titers schedule your booster shot with your lgu/health facility resbakuna covid19 https://tco/oz30upw6dx
